;VehiID;DevIDNO;DateTime;Speed;Heading;lat;lon;geometry;sp_diff;dist;trjid;x;y;time;time_interval
32442;20;205130;2021-05-02 11:01:09;0.0;14;22.349079;114.199829;POINT (838632.5014527029 823330.6704179584);0.0;0.0;78;838632.5014527029;823330.6704179584;39669;15.0
32443;20;205130;2021-05-02 11:01:24;0.0;14;22.349086;114.199829;POINT (838632.501334393 823331.4455635922);0.0;0.7751456428734292;78;838632.501334393;823331.4455635922;39684;15.0
32444;20;205130;2021-05-02 11:01:39;0.0;14;22.349092;114.199813;POINT (838630.8531116932 823332.1097226728);0.0;1.777004601212451;78;838630.8531116932;823332.1097226728;39699;15.0
32445;20;205130;2021-05-02 11:01:54;0.0;14;22.349088;114.199813;POINT (838630.8531792508 823331.6667823101);0.0;0.4429403678811116;78;838630.8531792508;823331.6667823101;39714;15.0
32446;20;205130;2021-05-02 11:02:09;0.0;14;22.349079;114.199798;POINT (838629.3082174001 823330.6699309052);0.0;1.8386461986168063;78;838629.3082174001;823330.6699309052;39729;15.0
32447;20;205130;2021-05-02 11:02:24;0.0;14;22.349063;114.19979;POINT (838628.4844266392 823328.8980438731);0.0;1.954025299804888;78;838628.4844266392;823328.8980438731;39744;15.0
32448;20;205130;2021-05-02 11:02:39;0.0;14;22.349073;114.199798;POINT (838629.3083186725 823330.0055203612);0.0;1.3803268650057434;78;838629.3083186725;823330.0055203612;39759;15.0
32449;20;205130;2021-05-02 11:02:54;0.0;14;22.349126;114.199813;POINT (838630.8525374467 823335.874715768);0.0;6.068942770008989;78;838630.8525374467;823335.874715768;39774;15.0
32450;20;205130;2021-05-02 11:03:09;0.0;14;22.349159;114.19979;POINT (838628.4828068607 823339.5286126115);0.0;4.355064315535169;78;838628.4828068607;823339.5286126115;39789;15.0
32451;20;205130;2021-05-02 11:03:24;0.0;14;22.349149;114.19979;POINT (838628.4829755882 823338.4212616949);0.0;1.1073509294562522;78;838628.4829755882;823338.4212616949;39804;15.0
32452;20;205130;2021-05-02 11:03:39;0.0;14;22.349136;114.19979;POINT (838628.4831949322 823336.9817055068);0.0;1.4395562047771298;78;838628.4831949322;823336.9817055068;39819;15.0
32453;20;205130;2021-05-02 11:03:54;0.0;14;22.349134;114.19976;POINT (838625.3930021807 823336.7597647702);0.0;3.0981525030185506;78;838625.3930021807;823336.7597647702;39834;15.0
32454;20;205130;2021-05-02 11:04:09;0.0;14;22.349126;114.19976;POINT (838625.3931369847 823335.8738840403);0.0;0.8858807401385634;78;838625.3931369847;823335.8738840403;39849;15.0
32455;20;205130;2021-05-02 11:04:25;0.0;14;22.349111;114.199775;POINT (838626.9385032497 823334.2130928739);0.0;2.268564345846509;78;838626.9385032497;823334.2130928739;39865;16.0
